SampleLabel,Station,SamplingDepth(meters),Year,Month,Day,CTD,Latitude,Longitude,TChla,Fraction diatoms,Sum Diatom Chla,Sum Diatom Carbon,Mdiatom,Fraction Synechococcus_V4,Syn Chla,Syn Carbon,Fraction Prochlorococcus,Pro Chla,Pro Carbon,Fraction Dinoflagellates_T1,Fraction Dinoflagellates_T2,Fraction total dinos,Total Dino Chla,Total Dino Carbon,Mdinos,Fraction Coccolithophores,Cocco Chla,Cocco Carbon,Mcoccolithophores,Fraction Pelagophytes,Pelago Chla,Pelago Carbon,Fraction Prasinophytes_T3,Prasino T3 Chla,Prasino T3 Carbon,Fraction Prasinophytes_T2,Prasino T2 Chla,Prasino T2 Carbon, Fraction total GreenAlgae,Green aglae Chla,Green Algae carbon,Mflagellates,Fraction Cryptophytes,Crypto Chla,Crypto Carbon,Mcryptophytes
FKPI061,3,0,2017,Feb,12,29,34.5697,-123.513,0.505,0.121,0.058,1.37,0.19,0.039,0.019,0.72,0,0,0,0.034,0.097,0.131,0.063,1.21,0.273,0.169,0.081,4.24,0.262,0.148,0.071,4.12,0.118,0.057,3.08,0.102,0.049,0.94,0.22,0.106,4.02,0.092,0.173,0.083,1.52,0.183
FKPI064,3,0,2017,Feb,13,33,34.5265,-123.566,0.71,0.228,0.165,4,0.368,0.009,0.007,0.25,0,0,0,0.03,0.077,0.107,0.077,1.51,0.272,0.146,0.106,5.494,0.172,0.106,0.077,4.43,0.132,0.095,5.16,0.058,0.042,0.8,0.19,0.137,5.96,0.078,0.213,0.154,2.81,0.109
FKPI069,3,0,2017,Feb,14,37,34.3039,-123.513,0.476,0.133,0.065,1.53,0.347,0.052,0.026,0.98,0,0,0.01,0.031,0.099,0.13,0.064,1.2,0.164,0.183,0.09,4.677,0.335,0.137,0.067,3.89,0.111,0.055,2.95,0.112,0.055,1.05,0.223,0.109,4,0.045,0.141,0.069,1.26,0.1
